,birthday,name,description,deathday,uri
0,1832,丁丙,"丁丙（1832—1899）字嘉魚，别字松生，清杭州錢塘（今杭州）人，與其兄丁申共同經營八千卷樓藏書，時人稱之爲「雙丁」。
八千卷樓藏書淵源有自。先是，丁氏祖父丁國典慕其北宋先人丁顗有書八千卷之雅事，始於杭州營建藏書樓，並請當時名士梁山舟爲題「八千卷樓」匾額，傳至丁氏父親丁英，晨購露鈔，插架漸富。及丁申、丁丙兄弟，更是珍惜琳琅，考校精審，盛名遠播。
丁氏兄弟之所以名垂後世，受人尊重，不僅是因爲八千卷樓的豐富收藏，更主要在於他們歷盡艱辛，悉心呵護，修復因戰亂散失的文瀾閣藏書。咸豐十一年（1861）年，太平軍再破杭州，丁氏兄弟避難於城外，無意中發現了散出的文瀾閣《四庫全書》的書葉，痛惜之餘，兄弟倆開始了搜尋、修復文瀾閣本《四庫全書》的艱難歷程。經過不懈的努力，兄弟倆先後竟搶救得《四庫全書》近九千册。丁氏兄弟先是把書運到當時比較安全的上海，後來又運回杭州。原任典守閣書的陸光祺爲此繪圖紀事，浙江巡撫左宗棠爲題《書庫抱殘圖》，後人傳爲佳話。
由於當時文瀾閣已傾圮，丁氏兄弟運回之書祇能暫時藏於杭州府學尊經閣。光緒六年（1880），巡撫譚鍾麟與丁丙商議重建文瀾閣，次年閣成。此後丁丙又開始了補抄缺損的文瀾閣《四庫全書》的巨大工程，遂使文瀾閣《四庫全書》大體上恢復了原貌。
丁氏藏書樓總名「嘉惠堂」，建於光緒十四年（1888）。據丁丙《八千卷樓自記》載，樓凡五楹，正堂懸挂譚鍾麟手書「嘉惠堂」，其上即著名的「八千卷樓」，藏四庫著録之書；堂後爲「後八千卷樓」，規制和八千卷樓相同，藏四庫未著録之書；更後偏西爲「善本書室」，上下三楹，其上即「小八千卷樓」，藏宋元刊本及精鈔精校之書。
丁氏藏書目録主要有二：一是《八千卷樓書目》，是爲丁氏藏書總目；二是《善本書室藏書志》，著録小八千卷樓所藏宋元舊槧、名鈔名校及稿本。此外，丁申著有《武林藏書録》，記載自晉而後杭州藏書家史略及自宋至清杭州官家藏書、刻書的概况，對中國藏書史和中國出版史的研究均有相當價值。
光緒三十三年（1907），丁氏後人因經商失敗，虧空巨萬。鑒於皕宋樓東流的教訓，經兩江總督端方和江蘇著名藏書家繆荃孫的斡旋，八千卷樓藏書以七萬五千元歸於我國最早的公共圖書館江南圖書館，即現在南京圖書館的前身。（来源：《明清著名藏书家藏书印》）",1899,http://data.library.sh.cn/entity/person/ygd6czavhmkv3oa5
1,1879,丁仁,清末民国篆刻家。八千卷楼楼主丁丙从孙。幼承庭训，喜好金石书画，嗜印成癖，抚拓无虚日，光绪三十年（1904）以“保存金石、研究印学，兼及书画”为宗旨与王禔、吴隐、叶铭于杭州发起创建西泠印社。著有《观水游山集》、《鹤庐诗词稿》、《鹤庐题画集》、《商卜文集联》、《商卜文集存》、《石刻龙泓遗翰》，编有《丁氏八家印选》、《杭郡印辑》、《丁氏秦汉印绪》、《葺盦集印》。（来源：《上图古籍数据库》）,1949,http://data.library.sh.cn/entity/person/v3vxan1heol71y33
2,1878,丁佛言,清末民国书法家、古文字学家。县庠生员、补廪生。光绪三十一年（1905）官费东渡入东京法政大学速成科学习，二年后学成归国执教于山东法政学堂。宣统元年（1909）当选山东省咨议局议员，1913年选为北京临时参议院议员，1916年任黎元洪大总统府秘书长。1922年再次赴国会，参与制宪。1923年拒绝曹锟贿选，隐退归里。1925年北平故宫博物院成立，任古物审查委员会委员。后以卖字为生，埋首于断碑古籍中。所得龟甲、彝鼎、泉玺、陶玉之属拓片不下七八千种，潜心研究，造诣极深。（来源：《上图古籍数据库》）,1930,http://data.library.sh.cn/entity/person/du00hibqeons5f03
3,1695,丁敬,丁敬（1695—1765）清代书画家、篆刻家。字敬身，号钝丁、砚林，别号龙泓山人、孤云、石叟、梅农、清梦生、玩茶翁、玩茶叟、砚林外史、胜怠老人、孤云石叟、独游杖者等，浙江杭州府钱塘县人。乾隆初年举鸿博不就，卖酒街市。嗜好金石文字，工诗善画，所画梅笔意苍秀。尤精篆刻，擅长切刀法，为“浙派篆刻”开山鼻祖，“西泠八家”之首。有《武林金石记》、《砚林诗集》、《砚林印存》、《寿寿初稽》等。（来源：《上图古籍数据库》）,1765,http://data.library.sh.cn/entity/person/gquhghuwgbfbvqgr
4,1827,丁文蔚,清书画家。官至福建长乐知县。擅书画，尤长花卉，秀雅古逸。其篆隶书法深得汉人古拙之趣。擅刻竹，亦工诗。著有《越中历代画人传》、《丁氏家谱》。（来源：《上图古籍数据库》）,1890,http://data.library.sh.cn/entity/person/fzjpg1hcin8nfmby
5,1829,丁申,丁申（？—1880）字竹舟，号禮林。清杭州錢塘（今杭州）人，原名丁壬。清藏书家、金石学家。与其弟丁丙號稱“雙丁”，共同經營八千卷樓藏書。（来源：《明清著名藏书家藏书印》）,1880,http://data.library.sh.cn/entity/person/6bh8xmddbpd5emf1
6,1874,丁福保,丁福保，（１８７４～１９５２）近代藏书家、书目专家。字仲祜，号畴居士，一号济阳破衲。江苏无锡人，１８９５年（光绪二十一年）肄业于江阴南菁书院，次年考取季才，后随华蘅芳学数学，编撰了《算学书目提要》。又鉴于身体多病，改习医学，创办丁氏医院、医学书局，先后编译出版了近８０种国内外医学书籍，合称《丁氏医学丛书》。１９１８年就编有《历代医学书目提要》，后又与人合编《四库总录医药编》，兼收中外医学书籍。辛亥革命前后，编辑刊印有《汉魏六朝名家集初刻》、《全汉三国晋南北朝诗》、《历代诗语续编》、《清诗话》等数部丛书。喜藏书，早年仰慕南菁书院藏书，曾手抄书院目录１册，以备购藏。１９２４年自称藏有“十万又三千”卷书，建“诂林精舍”，后来，藏书达１５万卷。先后捐赠各国图书馆、学校，其中捐给上海震旦大学图书馆２万余册、５万余卷古今刊本。编著有《文选类诂》、《尔牙诂林》、《古钱大辞典》等。（来源：《上图古籍数据库》）,1952,http://data.library.sh.cn/entity/person/liazqk7adgdfaj7z
7,1547,丁雲鵬,明画家。丁瓒子，詹景凤门人。供奉内廷十余年。与董其昌、詹景凤诸人交游。书法钟繇、王羲之。画白描人物、山水、佛像，无不精妙。白描酷似李公麟，丝发之间而眉睫意态毕具，非笔端有神通者不能也。（来源：《上图古籍数据库》）,1628？,http://data.library.sh.cn/entity/person/n6wzcc5c2ycus17j
8,1924,亞明,现代画家。1939年参加新四军。1941年毕业于淮南艺术专科学校。1943年加入中国共产党，曾任新四军第七师文工团美术股副股长、华东画报社美术记者。中华人民共和国成立后历任无锡市美协主席，江苏省美术工作室主任、江苏省国画院副院长，中国美协江苏分会副主席、香港《文汇报》中国画版主编，南京大学艺术研究中心教授。专攻中国画，擅人物、山水。为中国画坛重要流派——“新金陵画派”的中坚推动者和组织者。出版有《亚明新作选集》、《访苏画辑》、《亚明作品选集》、《亚明画集》、《三湘四水集》、《亚明近作选集》、《当代名家中国画·亚明》。（来源：《上图古籍数据库》）,2002.2.19,http://data.library.sh.cn/entity/person/wtqi6rtf1s896fw6
9,1482,仇英,明画家。擅画人物，尤长仕女，既工设色，又擅水墨、白描，能运用多种笔法表现不同对象，或圆转流美，或劲丽艳爽。偶作花鸟，亦明丽有致。与沈周、文徵明、唐寅并称为“明四家”。（来源：《上图古籍数据库》）,1559,http://data.library.sh.cn/entity/person/xyb2ks65a2cehiyg
