,label,begin,end,dynasty,monarch,monarchName,reignTitle,uri,last_year
0,夏,-1989,-1559.0,夏,,,,http://data.library.sh.cn/authority/temporal/4alljneqiivh5691,430
1,商,-1559,-1123.0,商,,,,http://data.library.sh.cn/authority/temporal/5et552ry5g8t8t1m,436
2,周,-1123,-256.0,周,,,,http://data.library.sh.cn/authority/temporal/h49zie56z4d1gtq2,867
3,西周,-1046,-771.0,西周,,,,http://data.library.sh.cn/authority/temporal/8qs9fkfuknhhewht,275
4,东周,-770,-221.0,东周,,,,http://data.library.sh.cn/authority/temporal/cjnk46stusravcp5,549
5,西周,-1046,-771.0,西周,,,,http://data.library.sh.cn/authority/temporal/8qs9fkfuknhhewht,275
6,东周,-770,-221.0,东周,,,,http://data.library.sh.cn/authority/temporal/cjnk46stusravcp5,549
7,春秋,-770,-477.0,春秋,,,,http://data.library.sh.cn/authority/temporal/mpacvj7uvzbrfj6x,293
8,战国,-476,-221.0,战国,,,,http://data.library.sh.cn/authority/temporal/ksjisjzdlwskal1w,255
9,秦,-221,-210.0,秦,始皇帝,嬴政,,http://data.library.sh.cn/authority/temporal/ty2nvzpe6atov9rz,11
10,秦,-221,-206.0,秦,,,,http://data.library.sh.cn/authority/temporal/qs36fnjpp26jtw8s,15
11,秦,-209,-207.0,秦,二世,嬴胡亥,,http://data.library.sh.cn/authority/temporal/r3iiwqb8wltcenxp,2
12,秦,-206,-206.0,秦,,嬴子婴,,http://data.library.sh.cn/authority/temporal/k823rq1gc2a82h98,0
13,秦秦兴,617,618.0,秦,,薛举,秦兴,http://data.library.sh.cn/authority/temporal/41ngdn53nn6owyqr,1
14,西汉,-206,8.0,西汉,,,,http://data.library.sh.cn/authority/temporal/sbirtc1g5d7oz64i,214
15,汉,-206,220.0,汉,,,,http://data.library.sh.cn/authority/temporal/95vht2jlgtwimv93,426
16,汉,-206,-195.0,汉,高祖,刘邦,,http://data.library.sh.cn/authority/temporal/pdkyarlmn2gznnmm,11
17,西汉,-206,8.0,西汉,,,,http://data.library.sh.cn/authority/temporal/sbirtc1g5d7oz64i,214
18,汉,-194,-188.0,汉,惠帝,刘盈,,http://data.library.sh.cn/authority/temporal/fzrdpg8c9ehg7c9l,6
19,汉,-187,-180.0,汉,高后,吕稚,,http://data.library.sh.cn/authority/temporal/hugoik4rcc88xc8r,7
20,汉,-179,-164.0,汉,文帝,刘恒,,http://data.library.sh.cn/authority/temporal/lqgnkyu1agxb64ov,15
21,汉后元,-163,-157.0,汉,文帝,刘恒,后元,http://data.library.sh.cn/authority/temporal/ze8flnm3ke6f53fb,6
22,汉,-156,-150.0,汉,景帝,刘启,,http://data.library.sh.cn/authority/temporal/hx8ljjt6m9jwgfdq,6
23,汉中元,-149,-144.0,汉,景帝,刘启,中元,http://data.library.sh.cn/authority/temporal/k9gxgdudz3m1u2hh,5
24,汉后元,-143,-141.0,汉,景帝,刘启,后元,http://data.library.sh.cn/authority/temporal/anv3dae72kbwspdp,2
25,汉建元,-140,-135.0,汉,武帝,刘彻,建元,http://data.library.sh.cn/authority/temporal/ipxo2wfpg3dfdpuz,5
26,汉元光,-134,-129.0,汉,武帝,刘彻,元光,http://data.library.sh.cn/authority/temporal/tkj9b6oawtb766te,5
27,汉元朔,-128,-123.0,汉,武帝,刘彻,元朔,http://data.library.sh.cn/authority/temporal/e2fps8lrgpqb64sy,5
28,汉元狩,-122,-117.0,汉,武帝,刘彻,元狩,http://data.library.sh.cn/authority/temporal/4vnb6hdrnl4lvxpy,5
