,数量,序号,文件名,简体,繁体,img_x,img_y,朱色比例,作者,图画印,边款,边框,印文字数,印形,印文,印面内容,印面内容-姓名印,印面内容-收藏鉴赏印,印面内容-书简印,印面内容-斋馆别号印
0,1,0,0000_蒋风白写生记.png,蒋风白写生记,蔣風白寫生記,496,500,0.39,蒋风白,无,无,无,6,方形,白文,无,无,无,无,无
1,1,1,0001_韦之.png,韦之,韋之,529,740,0.34,高其佩,无,无,无,2,方形,白文,无,无,无,无,无
2,1,2,0002_揆.png,揆,揆,327,337,0.35,程正揆,无,无,口,1,方形,朱文,无,无,无,无,无
3,1,3,0003_塞北绕春.png,塞北绕春,塞北繞春,582,592,0.58,榭稚柳,无,无,无,4,方形,白文,无,无,无,无,无
4,1,4,0004_谭延闿印.png,谭延闿印,譚延闿印,518,533,0.46,谭延闿,无,无,无,4,方形,白文,姓名印,印,无,无,无
5,1,5,0005_宸英.png,宸英,宸英,227,208,0.71,姜宸英,无,无,无,2,方形,白文,无,无,无,无,无
6,1,6,0006_内阁学士.png,内阁学士,內閣學士,698,544,0.41,翁方纲,无,无,无,4,方形,白文,无,无,无,无,无
7,1,7,0007_余任天考藏印.png,余任天考藏印,余任天考藏印,659,678,0.23,余任天,无,无,口口,6,方形,朱文,收藏鉴赏印,无,收藏类,无,无
8,1,8,0008_陈氏道复.png,陈氏道复,陳氏道復,467,475,0.17,陈淳,无,无,无,4,方形,白文,无,无,无,无,无
9,1,9,0009_葆珩.png,葆珩,葆珩,240,477,0.5,钟葆珩,无,无,口,2,长方形,白文,无,无,无,无,无
10,1,10,0010_八十岁应门者.png,八十岁应门者,八十歲應門者,742,757,0.43,齐白石,无,无,口,6,方形,朱文,无,无,无,无,无
11,1,11,0011_石门丰氏.png,石门丰氏,石門豐氏,354,354,0.28,丰子恺,无,无,口,4,方形,朱文,无,无,无,无,无
12,1,12,0012_丛翠堂.png,丛翠堂,叢翠堂,1448,2617,0.51,钱君匋,无,边款,口,3,方形,朱文,斋馆别号印,无,无,无,斋馆别号印
13,1,13,0013_迅.png,迅,迅,283,793,0.58,鲁迅,无,无,无,1,长方形,白文,无,无,无,无,无
14,1,14,0014_江东少年.png,江东少年,江東少年,274,269,0.42,李叔同,无,无,无,4,方形,白文,无,无,无,无,无
15,1,15,0015_米万钟字仲诏.png,米万钟字仲诏,米萬鐘字仲詔,1158,1152,0.25,米万钟,无,无,口,6,方形,朱文,无,无,无,无,无
16,1,16,0016_依旧草堂.png,依旧草堂,依舊草堂,683,658,0.05,费丹旭,无,无,口,4,方形,朱文,斋馆别号印,无,无,无,斋馆别号印
17,1,17,0017_虎人.png,虎人,虎人,479,465,0.63,张敔,无,无,无,2,方形,白文,无,无,无,无,无
18,1,18,0018_绵津山人.png,绵津山人,綿津山人,566,528,0.22,宋荦,无,无,口,4,方形,朱文,无,无,无,无,无
19,1,19,0019_吏部郎.png,吏部郎,吏部郎,412,556,0.47,叶德辉,无,无,无,3,方形,白文,无,无,无,无,无
20,1,20,0020_南北东西只有相随无别离.png,南北东西只有相随无别离,南北東西只有相隨無別離,565,556,0.23,张大千,无,无,口,>=10,方形,朱文,无,无,无,无,无
21,1,21,0021_屺瞻.png,屺瞻,屺瞻,242,241,0.32,朱屺瞻,无,无,口,2,方形,朱文,无,无,无,无,无
22,1,22,0022_苦篁.png,苦篁,苦篁,670,770,0.35,榭稚柳,无,无,无,2,方形,白文,无,无,无,无,无
23,1,23,0023_药翁写意.png,药翁写意,藥翁寫意,652,628,0.59,唐云,无,无,无,4,方形,白文,无,无,无,无,无
24,1,24,0024_岑仲陶藏书印.png,岑仲陶藏书印,岑仲陶藏書印,595,544,0.3,岑槠,无,无,口,6,方形,朱文,收藏鉴赏印,无,收藏类,无,无
25,1,25,0025_朗吟.png,朗吟,朗吟,438,316,0.23,边寿民,无,无,口,2,长方形,朱文,无,无,无,无,无
26,1,26,0026_荷屋曾观.png,荷屋曾观,荷屋曾觀,462,450,0.19,吴荣光,无,无,无,4,方形,白文,无,无,无,无,无
27,1,27,0027_友芝私印.png,友芝私印,友芝私印,296,289,0.39,莫友芝,无,无,口,4,方形,朱文,无,无,无,无,无
28,1,28,0028_午斋.png,午斋,午齋,229,364,0.39,钱君匋,无,无,日,2,长方形,白文,斋馆别号印,无,无,无,斋馆别号印
29,1,29,0029_涧飞氏.png,涧飞氏,澗飛氏,475,455,0.3,毕泷,无,无,口,3,方形,朱文,无,无,无,无,无
30,1,30,0030_季度手拓.png,季度手拓,季度手拓,395,380,0.33,黄绍宪,无,无,田,4,方形,朱文,无,无,无,无,无
31,1,31,0031_丰子恺年五十以后作.png,丰子恺年五十以后作,豐子愷年五十以后作,431,423,0.49,丰子恺,无,无,口口口,9,方形,朱文,无,无,无,无,无
32,1,32,0032_陆心源印.png,陆心源印,陸心源印,335,333,0.28,陆心源,无,无,口,4,方形,朱文,姓名印,印,无,无,无
33,1,33,0033_鞠裳翰墨.png,鞠裳翰墨,鞠裳翰墨,415,397,0.34,叶昌炽,无,无,无,4,方形,白文,无,无,无,无,无
34,1,34,0034_关山月.png,关山月,關山月,392,399,0.33,关山月,无,无,口,3,方形,朱文,姓名印,姓名,无,无,无
35,1,35,0035_不羡神仙羡少年.png,不羡神仙羡少年,不羨神仙羨少年,1149,1149,0.38,陆俨少,无,无,口,7,方形,朱文,无,无,无,无,无
36,1,36,0036_屺瞻.png,屺瞻,屺瞻,446,431,0.41,朱屺瞻,无,无,口,2,方形,朱文,无,无,无,无,无
37,1,37,0037_稚柳.png,稚柳,稚柳,429,541,0.16,谢稚柳,无,无,口,2,方形,朱文,无,无,无,无,无
38,1,38,0038_包山子.png,包山子,包山子,333,340,0.53,陆治,无,无,无,3,方形,白文,无,无,无,无,无
39,1,39,0039_前分巡广东高廉道归安陆心源捐送国子监书籍.png,前分巡广东高廉道归安陆心源捐送国子监书籍,前分巡廣東高廉道歸安陸心源捐送國子監書籍,329,1669,0.29,陆心源,无,无,无,>=10,长方形,白文,无,无,无,无,无
