,ownerOfSeal,label_clean,length,印,章,之印,之章,私印,印信,考藏印,藏书印,藏书之印,书画印,图书印
0,蒋风白,蒋风白写生记,6,,,,,,,,,,,
1,高其佩,韦之,2,,,,,,,,,,,
2,程正揆,揆,1,,,,,,,,,,,
3,榭稚柳,塞北绕春,4,,,,,,,,,,,
4,谭延闿,谭延闿印,4,1,,,,,,,,,,
5,姜宸英,宸英,2,,,,,,,,,,,
6,翁方纲,内阁学士,4,,,,,,,,,,,
7,余任天,余任天考藏印,6,1,,,,,,1,,,,
8,陈淳,陈氏道复,4,,,,,,,,,,,
9,钟葆珩,葆珩,2,,,,,,,,,,,
10,齐白石,八十岁应门者,6,,,,,,,,,,,
11,丰子恺,石门丰氏,4,,,,,,,,,,,
12,钱君匋,丛翠堂,3,,,,,,,,,,,
13,鲁迅,迅,1,,,,,,,,,,,
14,李叔同,江东少年,4,,,,,,,,,,,
15,米万钟,米万钟字仲诏,6,,,,,,,,,,,
16,费丹旭,依旧草堂,4,,,,,,,,,,,
17,张敔,虎人,2,,,,,,,,,,,
18,宋荦,绵津山人,4,,,,,,,,,,,
19,叶德辉,吏部郎,3,,,,,,,,,,,
20,张大千,南北东西只有相随无别离,11,,,,,,,,,,,
21,朱屺瞻,屺瞻,2,,,,,,,,,,,
22,榭稚柳,苦篁,2,,,,,,,,,,,
23,唐云,药翁写意,4,,,,,,,,,,,
24,岑槠,岑仲陶藏书印,6,1,,,,,,,1,,,
25,边寿民,朗吟,2,,,,,,,,,,,
26,吴荣光,荷屋曾观,4,,,,,,,,,,,
27,莫友芝,友芝私印,4,1,,,,1,,,,,,
28,钱君匋,午斋,2,,,,,,,,,,,
29,毕泷,涧飞氏,3,,,,,,,,,,,
30,黄绍宪,季度手拓,4,,,,,,,,,,,
31,丰子恺,丰子恺年五十以后作,9,,,,,,,,,,,
32,陆心源,陆心源印,4,1,,,,,,,,,,
33,叶昌炽,鞠裳翰墨,4,,,,,,,,,,,
34,关山月,关山月,3,,,,,,,,,,,
35,陆俨少,不羡神仙羡少年,7,,,,,,,,,,,
36,朱屺瞻,屺瞻,2,,,,,,,,,,,
37,谢稚柳,稚柳,2,,,,,,,,,,,
38,陆治,包山子,3,,,,,,,,,,,
39,陆心源,前分巡广东高廉道归安陆心源捐送国子监书籍,20,,,,,,,,,,,
40,缪荃孙,荃孙,2,,,,,,,,,,,
41,方薰,樗盦,2,,,,,,,,,,,
42,孔宪瑶,性腴,2,,,,,,,,,,,
43,边寿民,寿民,2,,,,,,,,,,,
44,黄丕烈,书魔,2,,,,,,,,,,,
45,汪士慎,近人,2,,,,,,,,,,,
46,卢文弨,绍弓氏,3,,,,,,,,,,,
47,翁同龢,臣翁同龢,4,,,,,,,,,,,
48,项元汴,檇李项氏士家寳玩,8,,,,,,,,,,,
49,傅抱石,乙巳,2,,,,,,,,,,,
50,董邦达,邦达之印,4,1,,1,,,,,,,,
51,伊秉绶,宁化伊氏收藏印信,8,,,,,,1,,,,,
52,齐白石,客中月光亦照家山,8,,,,,,,,,,,
53,朱复戡,百花齐放,4,,,,,,,,,,,
54,董邦达,非闻,2,,,,,,,,,,,
55,钱瘦铁,瘦铁,2,,,,,,,,,,,
56,傅抱石,抱石,2,,,,,,,,,,,
57,李苦禅,八十后作,4,,,,,,,,,,,
58,赵云壑,壑道人,3,,,,,,,,,,,
59,罗振玉,六十后字含章,6,,1,,,,,,,,,
60,余任天,日有熹,3,,,,,,,,,,,
61,张绍仁,讱庵居士,4,,,,,,,,,,,
62,齐白石,白石题跋,4,,,,,,,,,,,
63,潘仕成,潘仕成,3,,,,,,,,,,,
64,唐云,唐云之印,4,1,,1,,,,,,,,
65,王腰,原名寿祺,4,,,,,,,,,,,
66,伊秉绶,广陵太守之章,6,,1,,1,,,,,,,
67,张敔,张敔之印,4,1,,1,,,,,,,,
68,谢稚柳,谢,1,,,,,,,,,,,
69,张善孖,张泽,2,,,,,,,,,,,
70,吴滔,吴滔画印,4,1,,,,,,,,,,
71,任预,立凡,2,,,,,,,,,,,
72,王芑孙,沤波,2,,,,,,,,,,,
73,高濂,武林高瑞南家藏书画印,10,1,,,,,,,,,1,
74,朱屺瞻,六十白石印富翁,7,,,,,,,,,,,
75,丰子恺,子恺书画,4,,,,,,,,,,,
76,榭稚柳,苦篁斋,3,,,,,,,,,,,
77,莫友芝,友芝私印,4,1,,,,1,,,,,,
78,齐白石,阿芝,2,,,,,,,,,,,
79,榭稚柳,苦篁斋,3,,,,,,,,,,,
80,谢稚柳,稚柳,2,,,,,,,,,,,
